"Label (Grouping)","United States!!Estimate","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","74,154","63,221","77,172","69,316","60,923","87,531","76,397","84,028","72,374","100,828","63,276","71,622","70,886","63,254","76,327","64,474","65,295","64,195","62,061","61,501","62,421","87,689","87,001","71,444","75,342","54,066","63,918","60,096","64,905","65,967","76,929","86,543","64,419","80,342","65,975","61,996","70,742","60,342","73,160","72,804","75,526","62,514","59,681","63,010","72,154","71,082","63,076","84,017","87,357","58,901","67,829","62,659","30,959"
"    Science and Engineering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Computers, Mathematics and Statistics","100,283","81,952","96,094","99,708","92,865","120,183","101,463","102,535","63,250","120,782","86,291","92,074","83,367","84,175","93,914","78,790","81,696","89,920","80,210","79,988","83,963","107,784","113,172","90,441","99,699","66,677","84,569","86,974","95,550","80,595","101,138","110,258","87,214","96,546","92,908","75,108","94,001","81,424","98,594","94,591","74,363","73,787","64,470","82,466","96,786","101,179","81,709","112,832","139,250","78,924","90,808","64,862","31,335"
"        Biological, Agricultural, and Environmental Sciences","76,444","71,048","81,582","67,408","70,497","91,954","71,900","90,944","85,471","101,849","70,758","67,502","73,973","61,606","78,141","73,739","66,216","67,250","66,065","74,858","57,024","91,436","86,045","72,689","75,239","63,199","63,180","63,459","68,743","74,133","74,593","93,125","79,860","81,977","75,526","64,367","69,609","71,073","78,145","75,206","81,787","66,877","62,023","63,230","73,880","77,034","58,561","86,934","79,913","59,865","66,743","65,101","35,563"
"        Physical and Related Sciences","83,706","75,266","77,073","81,123","69,874","102,008","82,615","98,698","95,497","108,607","71,905","81,762","77,336","84,135","82,028","73,014","72,204","67,207","68,155","70,862","81,022","106,889","102,124","72,118","86,823","54,519","72,498","57,694","80,871","74,909","86,703","91,634","88,922","81,385","70,007","69,884","82,295","70,554","96,132","85,732","93,314","65,386","75,506","77,322","74,340","75,195","68,546","100,039","95,948","83,101","79,192","69,753","46,616"
"        Psychology","62,136","50,959","75,765","59,749","49,930","73,660","62,125","71,340","75,694","81,169","54,492","59,063","68,326","48,736","63,956","52,482","57,914","51,991","51,903","51,213","54,460","71,823","74,443","57,545","70,056","47,617","55,113","54,393","59,421","62,683","63,419","69,582","58,732","70,833","57,254","54,257","56,355","49,867","61,705","59,339","54,979","52,736","42,766","53,855","59,238","59,506","69,970","64,582","71,957","50,975","57,733","63,813","27,315"
"        Social Sciences","80,016","68,227","82,409","68,443","68,320","86,796","80,032","90,099","71,315","106,437","64,903","73,745","73,692","66,141","82,194","62,556","63,741","74,252","64,462","66,124","56,559","95,793","94,073","75,456","76,496","55,895","67,616","61,136","59,613","69,663","83,843","92,794","56,204","90,083","66,809","55,481","73,709","60,173","72,598","74,038","80,008","62,119","67,326","70,098","74,519","74,136","67,072","92,323","88,960","74,314","68,730","63,902","33,965"
"        Engineering","106,736","102,263","103,438","101,495","88,690","130,670","108,007","104,366","100,125","129,921","85,658","105,353","97,231","100,463","105,431","98,988","95,224","97,817","104,815","101,413","97,752","113,073","118,700","106,051","102,873","84,509","98,222","89,819","97,719","82,159","110,805","121,190","82,124","101,248","104,701","93,168","102,465","87,263","109,644","103,029","104,851","102,342","74,846","96,517","106,086","103,863","97,126","119,398","131,295","94,479","102,298","81,545","65,164"
"        Multidisciplinary Studies","63,605","62,778","71,009","57,115","61,821","80,987","62,848","79,535","49,216","84,367","55,111","64,069","63,641","52,785","62,345","63,789","50,211","51,714","43,262","43,133","44,716","78,050","83,854","63,498","61,372","56,209","52,203","53,929","48,287","46,920","86,846","71,215","45,009","70,313","52,641","40,099","61,577","60,605","55,335","68,101","75,721","50,601","57,785","46,668","60,005","51,781","58,597","76,479","87,655","43,571","63,617","91,036","39,057"
"    Science and Engineering Related Fields","75,847","68,779","72,906","73,196","69,077","92,865","75,607","82,066","76,848","88,114","68,273","72,586","83,136","61,685","74,928","72,390","69,471","69,607","70,470","68,676","66,666","83,637","86,894","72,911","75,511","63,404","70,915","66,228","70,972","75,636","76,860","89,369","73,920","82,565","70,837","61,503","72,644","66,472","81,238","76,463","80,131","71,219","66,958","66,348","75,878","65,515","68,341","78,771","82,750","64,329","71,740","68,201","31,074"
